year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,(C),4th-year.pdf,3,1188
4th Year,f7c1380a0d71,explain,Explain.,"EVEN SEMESTER EXAMINATION, 2023 – 24",4th-year.pdf,3,1854
4th Year,534e8c894772,t o,T.O.,P.T.O.,4th-year.pdf,3,3001
4th Year,c95ee47689a0,tech,TECH. (SEMESTER-VII),B.TECH. (SEMESTER-VII),4th-year.pdf,3,5611
4th Year,ef44c3d7b52f,a explain web service architecture,a) Explain Web Service Architecture?,Q3.,4th-year.pdf,2,2595
4th Year,d31ca9c7cee7,a write a note on the history of the internet www,a) Write a note on the History of the Internet & WWW?,Q1.,4th-year.pdf,2,2563
4th Year,486d23e66ff1,answer any two questions,Answer any two questions.,Q3.,4th-year.pdf,2,2636
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,5 X 4,4th-year.pdf,2,1168
4th Year,940caa152261,c explain the concept of corba,c) Explain the concept of CORBA?,Q3.,4th-year.pdf,2,2601
4th Year,b48d1fd0843f,c what do you mean by semantic web,c) What do you mean by Semantic Web?,Q3.,4th-year.pdf,2,2628
4th Year,2d7fb21ec286,can be improved,can be improved?,Q3.,4th-year.pdf,2,2599
4th Year,8d1e65e3bddf,data warehouse,data warehouse?,MM.: 100,4th-year.pdf,2,4524
4th Year,b44c5233056d,describe rich site summary syndication,Describe Rich Site Summary & Syndication.,Q3.,4th-year.pdf,2,2634
4th Year,3c78b3a28519,differentiate between web usage mining web structure mining web,"Differentiate between Web usage mining, Web Structure Mining, Web",Q3.,4th-year.pdf,2,2648
4th Year,a1692cb50155,explain in detail,Explain in detail.,Q2.,4th-year.pdf,2,1012
4th Year,c6a32efeef87,mining,Mining?,Q3.,4th-year.pdf,2,2651
4th Year,a986054ae7ef,object in java script,object in Java script?,Q1.,4th-year.pdf,2,2585
4th Year,033fe3a48963,recommended systems,Recommended Systems?,Q3.,4th-year.pdf,2,2646
4th Year,e64a2d724f94,suitable block diagram,Suitable Block Diagram?,Q3.,4th-year.pdf,2,2642
4th Year,534e8c894772,t o,T.O,P.T.O,4th-year.pdf,2,2907
4th Year,c95ee47689a0,tech,TECH (CSE) (SEMESTER-VII),B.TECH (CSE) (SEMESTER-VII),4th-year.pdf,2,4609
4th Year,c95ee47689a0,tech,Tech. (VIII Semester),TCS-802,4th-year.pdf,2,2544
4th Year,ca84d1343b96,web,web?,Q3.,4th-year.pdf,2,2624
